Label (Grouping),Total:,    Population of one race:,        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some Other Race alone,    Population of two or more races:,        Population of two races:,            White; Black or African American,            White; American Indian and Alaska Native,            White; Asian,            White; Native Hawaiian and Other Pacific Islander,            White; Some Other Race,            Black or African American; American Indian and Alaska Native,            Black or African American; Asian,            Black or African American; Native Hawaiian and Other Pacific Islander,            Black or African American; Some Other Race,            American Indian and Alaska Native; Asian,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander,            Asian; Some Other Race,            Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of three races:,            White; Black or African American; American Indian and Alaska Native,            White; Black or African American; Asian,            White; Black or African American; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Some Other Race,            White; American Indian and Alaska Native; Asian,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander,            White; Asian; Some Other Race,            White; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; Asian; Some Other Race,            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Asian; Some Other Race,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of four races:,            White; Black or African American; American Indian and Alaska Native; Asian,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Asian; Some Other Race,            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Asian; Some Other Race,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of five races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of six races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
"Anderson County, Texas","57,922","54,327","34,922","11,577",357,392,13,"7,066","3,595","3,429",509,728,97,14,"1,926",29,10,0,44,5,0,54,3,3,7,129,29,2,2,19,8,9,51,0,8,1,0,0,0,0,0,0,0,0,0,0,32,4,0,19,2,0,2,0,4,1,0,0,0,0,0,0,2,0,2,0,0,0,0,3,3
"Andrews County, Texas","18,610","14,756","10,909",237,220,112,0,"3,278","3,854","3,776",97,236,20,1,"3,374",1,1,0,6,3,0,27,3,4,3,74,10,0,4,13,0,1,38,2,0,0,0,0,2,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0
"Angelina County, Texas","86,395","78,097","54,887","13,098",563,919,42,"8,588","8,298","8,061",737,"1,197",181,10,"5,672",56,18,0,93,0,0,75,2,19,1,220,38,2,6,45,0,1,103,2,3,4,5,3,0,0,0,5,0,0,0,3,13,3,0,2,0,0,0,5,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,1
"Aransas County, Texas","23,830","20,580","17,996",264,245,501,17,"1,557","3,250","3,155",74,532,106,5,"2,382",7,1,5,5,2,0,19,12,5,0,71,7,0,0,4,2,0,43,0,10,2,0,0,1,1,0,1,0,0,0,0,15,1,0,9,0,5,0,0,0,0,0,0,0,0,0,0,7,1,4,0,2,0,0,2,2
"Archer County, Texas","8,560","8,011","7,551",32,108,19,0,301,549,517,51,163,25,0,260,0,4,3,1,2,0,4,2,2,0,21,5,0,0,1,0,0,5,6,1,0,0,0,1,0,1,0,0,0,0,1,9,3,0,0,1,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
"Armstrong County, Texas","1,848","1,725","1,646",13,17,10,0,39,123,112,11,49,7,1,37,0,0,1,4,0,0,1,0,1,0,6,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,1,0,0,0
"Atascosa County, Texas","48,981","36,893","28,203",425,491,206,18,"7,550","12,088","11,884",168,557,101,7,"10,916",12,6,1,35,0,0,41,14,24,2,193,19,13,5,33,6,0,92,8,9,0,1,5,1,0,0,1,0,0,0,0,9,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Austin County, Texas","30,167","26,193","20,164","2,440",277,201,8,"3,103","3,974","3,905",228,454,69,6,"2,977",28,4,0,66,1,8,57,0,7,0,63,7,0,0,11,4,0,26,0,9,0,0,0,0,0,1,0,0,0,0,5,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bailey County, Texas","6,904","5,553","3,348",65,86,11,0,"2,043","1,351","1,327",4,48,0,1,"1,254",0,0,0,7,0,0,11,0,0,2,21,6,0,0,6,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bandera County, Texas","20,851","18,339","17,110",110,157,97,15,850,"2,512","2,397",107,442,73,14,"1,729",9,0,1,5,0,0,9,8,0,0,103,15,1,8,2,0,0,44,5,18,0,2,0,4,0,0,0,0,0,0,4,12,3,0,1,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
