Total,County,Population,White,Black,AIAN,Asian,NHOPI,Other,White_pct,Black_pct,AIAN_pct,Asian_pct,NHOPI_pct,Other_pct
33,ANDERSON,57922,38362,12253,1303,543,57,9210,0.662304478436518,0.211543109699251,0.0224957701736818,0.00937467628880218,0.000984082041365975,0.159006940368081
11,ANDREWS,18610,14709,376,541,153,19,6751,0.790381515314347,0.0202041912950027,0.0290703922622246,0.00822138635142397,0.00102095647501343,0.362761955937668
72,ANGELINA,86395,62905,14115,2058,1169,85,14620,0.728109265582499,0.163377510272585,0.0238208229642919,0.0135308756293767,0.000983853232247236,0.169222755946525
23,ARANSAS,23830,21187,394,875,655,48,4051,0.889089383130508,0.0165337809483844,0.036718422156945,0.0274863617289131,0.00201426772975241,0.169995803608896
4,ARCHER,8560,8077,106,297,74,19,581,0.94357476635514,0.0123831775700935,0.034696261682243,0.00864485981308411,0.0022196261682243,0.0678738317757009
2,ARMSTRONG,1848,1762,34,70,28,8,90,0.953463203463203,0.0183982683982684,0.0378787878787879,0.0151515151515152,0.00432900432900433,0.0487012987012987
29,ATASCOSA,48981,40148,736,1230,396,68,18708,0.819664767971254,0.0150262346624201,0.0251117780363815,0.00808476756293257,0.00138829341989751,0.381944019109451
24,AUSTIN,30167,23961,2791,868,304,27,6265,0.794278516259489,0.0925183147147545,0.0287731627274837,0.0100772367156164,0.000895017734610667,0.20767726323466
7,BAILEY,6904,4679,91,155,19,3,3335,0.677723059096176,0.013180764774044,0.0224507531865585,0.00275202780996524,0.000434530706836616,0.483053302433372
7,BANDERA,20851,19578,270,688,219,63,2672,0.938947772289099,0.0129490192316915,0.0329960193755695,0.0105030933768165,0.00302143782072802,0.128147331063258
71,BASTROP,97216,71796,6873,3522,1287,189,30764,0.738520408163265,0.0706982389730086,0.0362286043449638,0.0132385615536537,0.00194412442396313,0.316449967083608
4,BAYLOR,3465,3252,113,84,22,9,235,0.938528138528139,0.0326118326118326,0.0242424242424242,0.00634920634920635,0.0025974025974026,0.0678210678210678
27,BEE,31047,20953,2558,509,307,50,12461,0.674880020613908,0.082391213321738,0.0163944986633169,0.00988823396785519,0.0016104615582826,0.401359229555191
423,BELL,370647,227563,100605,12616,18271,5981,64126,0.613961532131651,0.271430768359113,0.0340377771842211,0.0492948816528935,0.0161366475379539,0.173010978100457
1413,BEXAR,2009324,1425355,196197,58820,94562,8259,771880,0.709370415124689,0.0976432869960245,0.0292735268179746,0.0470615988262719,0.00411033760608045,0.384149096910205
4,BLANCO,11374,10383,123,315,100,21,1617,0.912871461227361,0.010814137506594,0.0276947423949358,0.00879198171267804,0.00184631615966239,0.142166344294004
0,BORDEN,631,606,16,8,14,8,33,0.960380348652932,0.0253565768621236,0.0126782884310618,0.0221870047543582,0.0126782884310618,0.05229793977813
7,BOSQUE,18235,16347,503,680,148,12,2534,0.896462846174938,0.0275843158760625,0.037290924047162,0.00811625993967645,0.000658075130244036,0.138963531669866
70,BOWIE,92893,63014,25188,3016,1506,184,6300,0.678350360091718,0.271150678737903,0.0324674625644559,0.0162122011346388,0.00198077357820288,0.0678199649058594
286,BRAZORIA,372031,242590,61118,9732,29997,623,85504,0.652069316804245,0.164282008757335,0.0261591103967143,0.0806303775760622,0.00167459163349291,0.229830309839771
